Age,Attrition,DistanceFromHome,Education,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
35,No,16,3,1,2,2426,0,No,13,3,3,6,5,3,5,0,3,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
29,No,15,2,2,3,4193,0,Yes,12,3,4,10,3,3,9,0,8,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
31,No,26,1,1,3,2911,1,No,17,3,4,5,1,2,5,4,3,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
34,No,19,2,1,4,2661,0,No,11,3,3,3,2,3,2,1,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
28,Yes,24,3,1,3,2028,5,Yes,14,3,2,6,4,3,4,0,3,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
29,No,21,4,3,1,9980,1,No,11,3,3,10,1,3,10,8,8,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32,No,5,2,1,2,3298,0,Yes,12,3,4,7,5,2,6,0,5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,No,16,2,1,4,2935,1,Yes,13,3,2,1,2,2,1,0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
53,No,2,4,4,4,15427,2,No,16,3,3,31,3,3,25,3,7,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
38,No,2,3,1,4,3944,5,Yes,11,3,3,6,3,3,3,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
24,No,11,2,2,3,4011,0,No,18,3,4,5,5,2,4,1,3,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
36,Yes,9,4,1,1,3407,7,No,23,4,2,10,4,3,5,0,3,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
34,No,7,4,3,2,11994,0,No,11,3,3,13,4,3,12,2,11,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
21,No,15,2,1,4,1232,1,No,14,3,4,0,6,3,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
34,Yes,6,1,1,1,2960,2,No,11,3,3,8,2,3,4,1,3,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
53,No,5,3,5,3,19094,4,No,11,3,4,26,3,2,14,4,8,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
32,Yes,16,1,1,1,3919,1,Yes,22,4,2,10,5,3,10,6,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,No,8,4,2,2,6825,0,No,11,3,4,10,2,3,9,4,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
44,No,7,4,3,4,10248,3,No,14,3,4,24,4,3,22,5,17,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
46,No,2,4,5,1,18947,3,No,12,3,4,22,2,2,2,2,1,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
33,No,2,3,1,4,2496,4,No,11,3,4,7,3,3,1,0,0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
44,No,10,4,2,4,6465,2,Yes,13,3,4,9,5,4,4,1,3,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
30,No,9,2,1,3,2206,1,No,13,3,1,10,5,3,10,1,8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
39,Yes,5,3,2,4,2086,3,No,14,3,3,19,6,4,1,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
24,Yes,1,3,1,4,2293,2,Yes,16,3,1,6,2,2,2,2,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
43,No,2,2,1,3,2645,1,No,12,3,4,6,3,2,5,1,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
50,Yes,3,2,1,3,2683,1,Yes,14,3,3,3,2,3,3,0,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
35,No,2,3,1,4,2014,1,No,13,3,1,2,3,3,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
36,No,5,4,1,1,3419,9,Yes,14,3,4,6,3,4,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
33,No,1,3,2,1,5376,2,No,19,3,1,10,3,3,5,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,No,4,2,1,4,1951,1,No,12,3,3,1,3,3,1,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
27,No,2,4,1,1,2341,1,No,13,3,4,1,6,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,Yes,25,3,1,3,2293,1,No,12,3,3,1,2,2,1,0,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
27,No,8,3,3,3,8726,1,No,15,3,4,9,0,3,9,1,7,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
30,No,1,2,2,4,4011,1,No,23,4,4,12,2,3,12,3,7,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
41,Yes,12,3,5,3,19545,1,No,12,3,4,23,0,3,22,15,8,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
34,No,23,4,2,3,4568,0,No,20,4,3,10,2,3,9,8,7,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
37,No,19,2,1,2,3022,4,No,21,4,1,8,1,3,1,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
46,No,5,4,2,4,5772,4,Yes,21,4,3,14,4,3,9,0,8,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
35,No,8,1,1,4,2269,1,No,19,3,4,1,2,3,1,0,1,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
48,Yes,1,2,3,3,5381,9,Yes,13,3,4,23,2,3,1,0,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
28,Yes,5,4,1,3,3441,1,Yes,13,3,3,2,3,2,2,2,2,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
44,No,1,5,2,1,5454,5,Yes,21,4,3,9,2,2,4,1,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35,No,11,2,3,1,9884,2,Yes,13,3,3,10,3,3,4,2,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
26,No,23,3,2,4,4157,7,Yes,19,3,3,5,2,2,2,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
33,No,1,2,3,4,13458,1,Yes,12,3,3,15,1,3,15,8,12,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
35,No,18,5,3,1,9069,1,No,22,4,4,9,3,2,9,1,8,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
35,No,23,4,1,1,4014,3,Yes,15,3,3,4,3,3,2,2,2,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
31,No,7,4,2,4,5915,3,No,22,4,4,10,3,2,7,1,7,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
37,No,1,4,2,3,5993,1,No,18,3,3,7,2,4,7,0,7,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
32,No,1,3,2,4,6162,1,Yes,22,4,2,9,3,3,9,7,8,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
38,No,29,5,2,4,2406,1,No,11,3,4,10,2,3,10,9,9,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
50,No,7,2,5,3,18740,5,Yes,12,3,4,29,2,2,27,13,8,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
59,No,25,3,3,1,7637,7,No,11,3,4,28,3,2,21,7,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
36,No,8,3,3,3,10096,1,No,13,3,2,17,2,3,17,12,8,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
55,No,8,3,4,3,14756,2,Yes,14,3,3,21,2,3,5,0,2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,No,11,3,2,2,6499,1,No,13,3,3,6,3,3,6,0,3,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
45,No,7,3,3,1,9724,2,No,17,3,3,25,2,3,1,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
35,No,1,3,1,1,2194,4,No,13,3,4,5,2,2,3,1,2,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
36,Yes,9,3,1,3,3388,0,Yes,17,3,1,2,0,2,1,0,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
59,No,1,1,2,3,5473,7,No,11,3,4,20,2,2,4,1,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
29,No,2,3,1,2,2703,0,No,23,4,4,6,3,3,5,0,4,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
31,No,1,4,1,2,2501,1,No,17,3,2,1,4,3,1,1,0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
32,No,1,3,2,2,6220,1,No,17,3,2,10,3,3,10,0,9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
36,No,6,3,1,4,3038,3,No,12,3,2,5,3,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
31,No,8,4,2,4,4424,1,No,23,4,4,11,2,3,11,1,8,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,No,1,4,2,1,4312,0,No,14,3,2,16,2,3,15,2,8,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
45,No,6,4,3,1,13245,4,Yes,14,3,2,17,3,4,0,0,0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
37,No,7,4,3,3,13664,4,No,13,3,1,16,3,4,5,0,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
46,No,5,2,2,2,5021,8,Yes,22,4,4,16,2,3,4,0,2,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
30,No,1,1,2,4,5126,1,Yes,12,3,3,10,1,2,10,3,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
35,No,1,3,1,3,2859,1,No,18,3,1,6,3,3,6,0,4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
55,No,1,2,3,4,10239,3,No,14,3,4,24,4,3,1,1,0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
38,No,6,3,2,4,5329,7,Yes,12,3,4,17,3,3,13,1,9,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
34,No,1,2,2,2,4325,1,No,15,3,3,5,2,3,5,1,3,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
56,No,7,3,3,4,7260,4,No,11,3,1,37,3,2,6,0,2,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
23,No,2,1,1,1,2322,3,No,13,3,3,3,3,3,0,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
51,No,9,4,1,4,2075,3,No,23,4,2,10,4,3,4,0,3,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
30,No,2,3,2,4,4152,1,No,19,3,1,11,3,3,11,10,8,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
46,Yes,9,2,3,4,9619,1,No,16,3,4,9,3,3,9,4,7,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
40,No,1,4,4,2,13503,1,No,22,4,4,22,3,2,22,11,11,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
51,No,21,4,2,4,5441,0,Yes,22,4,4,11,2,1,10,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
30,No,4,2,2,2,5209,1,Yes,12,3,2,11,4,2,11,2,7,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
46,No,1,3,3,1,10673,2,Yes,13,3,3,21,5,2,10,9,5,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
32,No,6,4,2,3,5010,1,No,16,3,1,12,0,3,11,5,7,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
54,No,2,4,3,3,13549,9,No,12,3,1,16,5,1,4,0,3,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
24,No,3,2,2,3,4999,0,No,21,4,1,4,2,2,3,0,2,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
28,No,4,3,2,3,4221,1,No,15,3,2,5,3,4,5,0,4,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
58,No,10,4,4,3,13872,0,No,13,3,3,38,1,2,37,1,8,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
44,No,23,3,2,2,2042,4,No,12,3,3,17,3,4,3,1,2,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
37,Yes,6,4,1,1,2073,4,Yes,22,4,4,7,3,3,3,0,2,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
32,No,1,1,1,1,2956,1,No,13,3,4,1,2,3,1,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
20,Yes,6,3,1,4,2926,1,Yes,18,3,2,1,5,3,1,1,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
34,No,6,4,2,3,4809,1,No,14,3,3,16,3,3,16,2,10,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,No,2,2,2,4,5163,5,No,14,3,4,17,2,4,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
59,No,2,4,5,4,18844,9,No,21,4,4,30,3,3,3,2,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
50,No,1,3,5,2,18172,3,Yes,19,3,1,28,1,2,8,0,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
25,Yes,5,3,2,3,5744,1,Yes,11,3,4,6,1,3,6,0,3,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
25,No,7,1,1,4,2889,1,No,11,3,3,2,2,3,2,2,1,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
22,No,15,3,1,4,2871,1,No,15,3,3,1,5,3,0,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
51,No,1,4,3,1,7484,3,No,20,4,3,23,1,2,13,12,8,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
34,Yes,7,3,2,3,6074,1,Yes,24,4,4,9,3,3,9,0,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
54,No,26,3,4,4,17328,2,Yes,12,3,3,23,3,3,5,4,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
24,No,18,1,1,3,2774,0,No,12,3,3,6,2,3,5,1,2,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
34,No,6,4,2,2,4505,6,No,15,3,3,12,3,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37,No,3,3,3,4,7428,2,No,12,3,1,12,3,3,5,1,3,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
34,No,5,3,3,1,11631,2,No,12,3,4,14,6,3,11,5,8,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
36,No,11,2,3,4,9738,0,No,14,3,3,10,6,3,9,2,8,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
36,No,3,2,1,4,2835,5,No,22,4,1,7,2,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
43,No,26,2,4,4,16959,1,Yes,12,3,4,25,3,4,25,4,12,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
30,No,23,3,1,3,2613,1,No,25,4,3,10,2,2,10,0,9,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
33,No,22,2,2,2,6146,0,No,13,3,1,8,2,4,7,0,7,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
56,Yes,14,4,1,2,4963,9,Yes,18,3,1,7,2,3,5,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
51,No,6,3,5,3,19537,7,No,13,3,3,23,5,3,20,15,15,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
31,Yes,6,4,2,3,6172,4,Yes,18,3,2,12,3,2,7,7,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
26,No,6,3,1,2,2368,1,No,19,3,3,5,3,2,5,4,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
58,Yes,23,4,3,4,10312,1,No,12,3,4,40,3,2,40,15,6,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
19,Yes,22,1,1,3,1675,1,Yes,19,3,4,0,2,2,0,0,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
22,No,2,1,1,4,2523,0,No,14,3,3,3,2,3,2,2,1,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False
49,No,20,4,2,1,6567,1,No,14,3,3,16,2,2,15,5,11,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
43,No,28,3,1,3,4739,4,No,12,3,4,18,2,3,3,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
50,No,12,3,3,4,9208,4,No,11,3,4,16,3,3,2,2,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
31,Yes,20,3,2,3,4559,3,Yes,11,3,3,4,2,3,2,2,2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
41,No,9,1,3,3,8189,3,Yes,13,3,3,12,2,3,9,0,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
26,No,25,1,1,3,2942,1,No,23,4,4,8,3,3,8,5,7,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
36,No,6,2,2,2,4941,6,No,20,4,4,7,0,3,3,0,1,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
51,Yes,8,4,3,4,10650,2,No,15,3,4,18,2,3,4,0,3,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
39,No,4,4,2,3,5902,4,No,14,3,3,17,1,4,15,5,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
25,No,28,3,2,3,8639,2,No,18,3,4,6,3,3,2,2,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
30,No,9,3,2,4,6347,0,Yes,19,3,4,12,2,1,11,4,7,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
32,Yes,9,3,1,1,4200,7,No,22,4,1,10,2,4,5,0,4,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
45,No,29,3,1,4,3452,5,No,13,3,2,9,2,2,6,0,3,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
38,No,3,5,2,3,4317,3,Yes,20,4,2,19,2,3,3,2,2,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
30,No,18,3,1,3,2632,1,No,14,3,3,5,4,2,5,0,4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
32,No,9,2,2,4,4668,0,No,17,3,4,9,2,4,8,0,7,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
30,No,5,3,1,1,3204,5,No,14,3,4,8,3,3,3,2,2,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
30,No,2,1,1,4,2720,0,No,13,3,4,6,3,3,5,1,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
41,No,10,3,4,1,17181,4,No,13,3,2,21,2,2,7,7,7,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
41,No,9,4,1,1,2238,2,No,21,4,4,7,2,3,5,1,4,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
19,No,3,1,1,2,1483,1,No,14,3,4,1,3,3,1,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
40,No,26,3,2,2,5605,1,No,11,3,1,20,2,3,20,2,13,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
35,No,1,5,3,2,7295,1,No,13,3,1,10,3,3,10,0,6,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
53,No,6,2,2,3,2306,2,Yes,20,4,4,13,3,1,7,4,5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
45,No,9,3,2,2,2348,8,No,18,3,3,20,2,1,17,0,15,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
32,No,8,3,3,4,8998,1,No,14,3,4,9,2,3,9,3,7,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
29,No,1,1,2,3,4319,1,No,13,3,1,10,1,3,10,0,9,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
51,No,7,4,2,3,6132,2,No,17,3,3,10,2,3,1,0,0,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
58,No,9,3,1,2,3346,4,Yes,20,4,2,9,3,2,1,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
40,No,4,4,3,4,10855,7,No,11,3,1,15,2,2,12,2,11,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
34,No,2,4,1,3,2231,6,No,18,3,4,6,3,3,4,1,2,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
22,No,19,1,1,4,2323,1,No,24,4,1,2,6,3,2,2,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
27,No,9,3,1,2,2024,6,No,18,3,4,6,1,1,2,2,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
28,No,21,3,1,4,2713,1,No,11,3,3,5,2,1,5,0,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
57,No,24,2,3,4,9439,3,Yes,16,3,2,12,2,1,5,1,4,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27,No,3,3,1,3,2566,1,Yes,15,3,4,1,2,2,1,0,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
50,No,11,3,5,2,19926,3,No,15,3,2,21,5,3,5,4,4,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,No,14,3,1,3,2451,4,No,12,3,1,13,2,3,9,1,8,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
30,No,5,3,3,4,9419,2,No,12,3,3,12,2,3,10,7,4,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
38,No,1,4,2,4,8686,4,No,22,4,3,12,2,4,8,0,7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
