,name,rating,reviews,salary,company_type,headquarter
109,ICICI Lombard General Insurance Company,3.8,3600,15800.0,Insurance ,Mumbai
110,D Mart,3.9,3600,13700.0,Retail ,Mumbai
111,Indiamart Intermesh,3.6,3600,17200.0,Internet ,Noida
112,BigBasket,4.0,3600,14900.0,Internet ,Bangalore
113,Coforge,3.5,3500,33600.0,IT Services & Consulting ,Noida
114,Hyundai Motor,4.3,3500,12900.0,Automobile ,Seoul
115,Virtusa Consulting Services,3.8,3500,47600.0,IT Services & Consulting ,Southborough
116,TVS Motor,4.0,3500,13900.0,Automobile ,Chennai
117,Nagarro,4.2,3400,24600.0,IT Services & Consulting ,Munich
118,Reliance Communications,3.9,3400,12600.0,Telecom ,Navi Mumbai
119,Atos Syntel,3.5,3400,35300.0,IT Services & Consulting ,Troy
120,UST,3.9,3400,35500.0,IT Services & Consulting ,Aliso Viejo
121,GlobalLogic,3.8,3400,31300.0,IT Services & Consulting ,San Jose
122,Manappuram Finance,3.9,3400,7500.0,NBFC ,Thrissur/Trichur
123,IQVIA,4.1,3400,26500.0,Clinical Research ,Durham
124,Bosch,4.3,3400,19900.0,Auto Components ,Gerlingen
125,Bosch Global Software Technologies,4.2,3400,34300.0,Software Product ,Gerlingen
126,Equitas Small Finance Bank,4.3,3400,11100.0,Banking ,Chennai
127,Cummins,4.4,3400,14900.0,Auto Components ,Columbus
128,SBI Cards & Payment Services,3.7,3300,15200.0,1k-5k Employees ,Gurgaon/Gurugram
129,Oyo Rooms,3.4,3300,25200.0,Hospitality ,Gurgaon
130,BNY Mellon,4.1,3300,28200.0,Investment Banking / Venture Capital / Private Equity ,New York City
131,BT Group,4.1,3300,10900.0,Telecom ,London
132,SMFG India Credit,4.1,3300,10200.0,NBFC ,Mumbai
133,Amdocs,4.0,3300,34800.0,Software Product ,Chesterfield
134,Schneider Electric,4.1,3200,20600.0,Industrial Automation ,Paris
135,Cholamandalam Investment & Finance,4.1,3200,9500.0,NBFC ,Chennai
136,CBRE,4.2,3200,15700.0,Real Estate ,Los Angeles
137,L&T Technology Services,3.4,3200,31200.0,IT Services & Consulting ,Vadodara/Baroda
138,Future Group,4.3,3200,11900.0,Retail ,Mumbai
139,State Bank of India,3.7,3100,10200.0,Banking ,Mumbai
140,Ekart Logistics,4.0,3100,7700.0,Logistics ,San Francisco
141,Swiggy,3.9,3100,19000.0,Internet ,Bangalore
142,JBM Group,4.0,3100,13100.0,Auto Components ,Gurgaon/Gurugram
143,Dell,4.1,3100,27100.0,Consumer Electronics & Appliances ,Round Rock
144,Ecom Express,4.0,3100,8200.0,Logistics ,Gurgaon
145,SBI Life Insurance Company,3.8,3000,10700.0,Insurance ,Mumbai
146,Bajaj Auto,3.9,3000,12900.0,Automobile ,Pune
147,Optum,4.0,3000,24400.0,Healthcare ,Prairie
148,Nagarjuna Construction Company,4.1,3000,10400.0,Engineering & Construction ,Hyderabad/Secunderabad
149,KEC International,4.1,3000,10900.0,Engineering & Construction ,Mumbai
150,Aditya Birla Fashion and Retail,4.2,2900,11700.0,Fashion & Textile ,Mumbai
151,Muthoot Fincorp,4.0,2900,7800.0,NBFC ,Trivandrum/Thiruvananthapuram
152,Viatris,4.2,2900,14400.0,Pharma ,Canonsburg
153,Piramal Capital Housing Finance,4.2,2900,9100.0,NBFC ,Mumbai
154,Samvardhana Motherson Group,3.8,2900,13400.0,Auto Components ,Noida
155,Royal Enfield,4.2,2900,13800.0,Automobile ,Gurgaon/Gurugram
156,Tata Communications,4.1,2900,22500.0,Telecom ,Mumbai
157,Godrej & Boyce Manufacturing,3.9,2800,16400.0,Engineering & Construction ,Mumbai
158,L&T Finance,4.0,2800,10900.0,NBFC ,Mumbai
159,LG Electronics,4.0,2800,10000.0,Consumer Electronics & Appliances ,Seoul
160,John Deere,4.3,2800,14000.0,Industrial Machinery ,Moline
161,Intas Pharmaceuticals,4.2,2800,14700.0,Pharma ,Ahmedabad
162,Whitehat jr,3.5,2700,9500.0,EdTech ,Mumbai
163,Varun Beverages,4.0,2700,9100.0,Beverage ,Gurgaon/Gurugram
164,Thermax Limited,4.2,2700,11900.0,Industrial Machinery ,Pune
165,Randstad,3.9,2700,13000.0,Recruitment ,Chennai
166,Hetero Drugs,3.8,2700,13600.0,Pharma ,Hyderabad/Secunderabad
167,Deutsche Bank,4.1,2700,31200.0,Banking ,Frankfurt
168,Persistent Systems,3.8,2700,31500.0,IT Services & Consulting ,Pune
169,Havells,4.1,2700,12100.0,Electrical Equipment ,Noida
170,Ford Motor,4.4,2700,14300.0,Automobile ,Dearborn
171,Sodexo,4.1,2700,9600.0,Facility Management Services ,Issy les Moulineaux
172,Abbott Healthcare,4.1,2700,10600.0,Pharma ,Illinois City
173,Subros,3.9,2700,12000.0,Auto Components ,Noida
174,Macleods Pharmaceuticals,3.8,2600,13600.0,Pharma ,Mumbai
175,CARS24,3.6,2600,11900.0,Internet ,Gurgaon
176,VE Commercial Vehicles,4.0,2600,12500.0,Automobile ,Gurgaon/Gurugram
177,Automatic Data Processing (ADP),4.1,2600,20300.0,Software Product ,New Jersey
178,American Express,4.3,2600,20700.0,Financial Services ,New York City
179,UnitedHealth,4.1,2600,22700.0,Healthcare ,Minnetonka
180,Kogta Financial India Limited,4.8,2600,1300.0,NBFC ,Jaipur
181,Team Lease,3.9,2600,13800.0,Recruitment ,Bangalore/Bengaluru
182,Standard Chartered Bank,3.9,2600,25900.0,Banking ,London
183,Indian Oil Corporation,4.4,2500,7000.0,Oil & Gas ,Delhi/NCR
184,Cgi Group,4.1,2500,32800.0,IT Services & Consulting ,Montreal
185,Pidilite Industries,4.4,2500,9400.0,Chemicals ,Mumbai
186,Bharat Electronics,4.1,2500,11300.0,Electronics Manufacturing ,Bangalore/Bengaluru
187,Atos,3.8,2500,27500.0,IT Services & Consulting ,Vilnius
188,Publicis Sapient,3.6,2500,27900.0,IT Services & Consulting ,New York
189,Hindalco Industries,4.2,2500,9700.0,Metals & Mining ,Mumbai
190,Alkem Laboratories,3.9,2500,9000.0,Pharma ,Mumbai
191,Alembic Pharmaceuticals,4.0,2500,13400.0,Pharma ,Vadodara/Baroda
192,R1 RCM,3.9,2500,15500.0,Healthcare ,Murray
193,Indian Air Force,4.6,2500,5100.0,Defence & Aerospace ,New Delhi
194,Access Healthcare,3.9,2500,17400.0,IT Services & Consulting ,Dallas
195,DCB Bank,3.9,2500,8700.0,Banking ,Mumbai
196,Hindustan Coca Cola Beverages,4.3,2400,7200.0,Beverage ,Bangalore
197,ITC Infotech,3.6,2400,27400.0,IT Services & Consulting ,Bangalore/Bengaluru
198,Wipro Infotech,4.0,2400,18300.0,IT Services & Consulting ,Bangalore
199,Barclays,4.1,2400,22400.0,Banking ,London
200,Vishal Mega Mart,3.8,2400,6600.0,Retail ,Gurgaon/Gurugram
201,Tata AIA Life Insurance,4.1,2400,11400.0,Insurance ,Mumbai
202,Maersk,4.3,2400,16400.0,Other ,Copenhagen
203,ABB Group,4.1,2400,15600.0,Electrical Equipment ,Zurich
204,Aakash Educational Services,3.6,2400,10900.0,EdTech ,New Delhi
205,Glenmark Pharmaceuticals,4.0,2400,11100.0,Pharma ,Mumbai
206,Ipca Laboratories,4.0,2400,10800.0,Pharma ,Mumbai
207,Wipro Consumer Care & Lighting,3.8,2400,2900.0,FMCG ,Bangalore/Bengaluru
208,NatWest Group,4.1,2400,20800.0,Banking ,Gurgaon/Gurugram
209,Bank of America,4.4,2400,24200.0,Banking ,Charlotte
210,Axis Direct,3.9,2400,7200.0,Financial Services ,San Mateo
211,CMS IT Services,3.1,2400,11000.0,IT Services & Consulting ,Bangalore
212,MRF Tyres,3.7,2300,10800.0,Auto Components ,Chennai
213,Aarti Industries,4.1,2300,12700.0,Agro Chemicals ,Mumbai
214,DTDC Express,3.8,2300,8000.0,Logistics ,Bangalore/Bengaluru
215,Honda Motorcycle & Scooter,4.2,2300,11000.0,Automobile ,Gurgaon/Gurugram
216,Paras Hospital,4.6,2300,2600.0,Healthcare ,Gurgaon/Gurugram
217,Utkarsh Small Finance Bank,3.9,2300,8600.0,Banking ,Varanasi
218,24/7 Customer,3.6,2300,15000.0,BPO ,San Jose
219,Reliance Nippon Life Insurance,3.9,2300,8200.0,Insurance ,Mumbai
220,Jindal Steel and Power,3.9,2300,12400.0,Iron & Steel ,Delhi/NCR
221,Berger Paints,3.7,2300,8200.0,Chemicals ,Kolkata
222,HDFC Ergo General Insurance,4.0,2300,9800.0,Insurance ,Mumbai
223,PolicyBazaar,3.4,2300,12500.0,Internet ,Gurgaon
224,Escorts Kubota Limited,4.1,2300,10100.0,Automobile ,Faridabad
225,Conduent,3.6,2300,19300.0,BPO ,Florham Park
226,RBL Bank,3.7,2300,15100.0,Banking ,Mumbai
227,Carelon Global Solutions,4.0,2300,21400.0,IT Services & Consulting ,Hyderabad/Secunderabad
228,Kotak Mahindara Life Insurance,3.9,2300,11100.0,Insurance ,Mumbai
229,GeBBS Healthcare Solutions,3.7,2300,10200.0,BPO ,Culver City
230,PNB MetLife,3.4,2300,7500.0,Insurance ,Mumbai
231,Cogent E Services,3.3,2300,7900.0,BPO ,Noida
232,Ceat Tyres,4.0,2200,11200.0,Auto Components ,Mumbai
233,GATI-KWE,4.0,2200,6400.0,Logistics ,Hyderabad/Secunderabad
234,Indiabulls Home Loans,3.8,2200,9400.0,NBFC ,Gurgaon/Gurugram
235,Marpu Foundation,4.8,2200,9.0,Non-Profit ,Hyderabad/Secunderabad
236,Shoppers Stop,4.2,2200,7500.0,Retail ,Mumbai
237,Dabur,3.8,2200,7400.0,FMCG ,Ghaziabad
238,Reliance Digital,4.2,2200,7200.0,Retail ,Mumbai
239,ACC,3.9,2200,9800.0,Building Material ,Mumbai
240,JK Cement,4.1,2200,8000.0,Building Material ,Gurgaon/Gurugram
241,IndiGo,3.6,2200,11400.0,Aviation ,Gurgaon/Gurugram
242,Jubilant Foods Works,3.8,2200,7200.0,Food Processing ,Noida
243,S&P Global,4.2,2200,16300.0,IT Services & Consulting ,New York City
244,Torrent Pharmaceuticals,3.9,2100,10400.0,Pharma ,Ahmedabad
245,HARMAN,3.8,2100,9700.0,Consumer Electronics & Appliances ,Stamford
246,Birlasoft,3.7,2100,26600.0,IT Services & Consulting ,Pune
247,Reliance SMSL,4.0,2100,5600.0,BPO ,Mumbai
248,ArcelorMittal Nippon Steel,4.0,2100,8900.0,Iron & Steel ,Surat
249,Synechron,3.9,2100,24300.0,IT Services & Consulting ,New York
250,KPIT Technologies,3.6,2100,20000.0,Software Product ,Pune
251,Titan Company,4.4,2100,7800.0,Retail ,Bangalore
252,Square Yards,3.9,2100,7500.0,Real Estate ,Gurgaon
253,Lenskart,3.2,2100,8900.0,Internet ,Faridabad
254,Bajaj Electricals,4.1,2100,8100.0,Consumer Electronics & Appliances ,Mumbai
255,UPL,4.1,2100,9900.0,Agro Chemicals ,Mumbai
256,Wipro Enterprises Ltd,3.9,2100,5900.0,IT Services & Consulting ,Bangalore
257,Simplex Infrastructures,3.3,2100,7100.0,Engineering & Construction ,Kolkata
258,Statestreet HCL Services,3.2,2100,17300.0,BPO ,New Delhi
259,Dilip Buildcon,4.0,2100,7800.0,Engineering & Construction ,Bhopal
260,RSPL Group,4.1,2100,8000.0,FMCG ,Mumbai
261,Patanjali Ayurved,4.0,2100,7900.0,FMCG ,Haridwar
262,Tech Mahindra Business Services,3.5,2100,11500.0,BPO ,Mumbai
263,Tata AIG,4.1,2100,10200.0,Insurance ,Mumbai
264,AGS Health,4.0,2100,10400.0,BPO ,Washington DC
265,Domino's Pizza,4.0,2000,4600.0,Hospitality ,Ypsilanti
266,Apollo Tyres,4.1,2000,8900.0,Auto Components ,Gurgaon/Gurugram
267,Huawei Technologies,4.0,2000,12000.0,Telecom ,Gurgaon/Gurugram
268,KocharTech,4.2,2000,3600.0,IT Services & Consulting ,Gurgaon/Gurugram
269,Capita,3.8,2000,14500.0,IT Services & Consulting ,Indore
270,Flex,4.1,2000,18500.0,Electronics Manufacturing ,San Jose
271,Alstom Transportation,3.9,2000,10600.0,Engineering & Construction ,Saint-Ouen
272,AFCONS Infrastructure,4.4,2000,7100.0,Engineering & Construction ,Mumbai
273,Suzlon Group,4.1,2000,7600.0,Power ,Pune
274,McDonald's,4.2,2000,4600.0,Hospitality ,Chicago
275,IGT Solutions,3.3,2000,10500.0,BPO ,Gurgaon/Gurugram
276,EY Global Delivery Services ( EY GDS),3.7,2000,11200.0,Accounting & Auditing ,Bangalore/Bengaluru
277,Mankind Pharma,4.1,2000,7900.0,Pharma ,New Delhi
278,TVS Credit,4.4,2000,6000.0,NBFC ,Chennai
279,Zensar Technologies,3.8,2000,26000.0,IT Services & Consulting ,Pune
280,Birla Sun Life Insurance,4.2,2000,7200.0,Insurance ,Mumbai
281,Lava International,4.1,2000,5300.0,Consumer Electronics & Appliances ,Noida
282,Max Healthcare,4.1,2000,8000.0,Healthcare ,Delhi/NCR
283,Tata Technologies,3.7,1900,19100.0,Engineering & Construction ,Singapore
284,Bajaj Allianz General Insurance,4.0,1900,8300.0,Insurance ,Pune
285,Taj Hotels Resorts and Palaces,4.2,1900,5500.0,Hospitality ,Mumbai
286,State Street Syntel,3.7,1900,12200.0,Financial Services ,Mumbai
287,Walmart,4.0,1900,16000.0,Retail ,Bangalore/Bengaluru
288,Capgemini Engineering,3.6,1900,21200.0,10k-50k Employees ,Gurgaon/Gurugram
289,State Street Corporation,3.8,1900,21500.0,Financial Services ,Boston
290,Landmark Group,4.0,1900,8700.0,Retail ,Dubai Marina
291,Blue Dart Express,4.1,1900,6100.0,Logistics ,Mumbai
292,Tractors and Farm Equipment,4.1,1900,8400.0,Automobile ,Chennai
293,ElasticRun,3.3,1900,6100.0,Logistics ,Pune
294,Nestle,4.1,1900,8800.0,Food Processing ,Vevey
295,Nokia,4.2,1900,18700.0,Telecom ,Espoo
296,Grasim Industries,4.0,1900,8400.0,Building Material ,Nagda
297,HDFC Sales,4.0,1900,7700.0,Financial Services ,Mumbai
298,Societe Generale,3.9,1900,19500.0,Financial Services ,Bangalore/Bengaluru
299,I Process Services,3.8,1900,5000.0,Recruitment ,Mumbai
300,Fiserv,3.7,1900,18300.0,FinTech ,Brookfield
301,Fortis Healthcare,4.0,1900,6800.0,Healthcare ,Gurgaon/Gurugram
302,G4S,4.0,1900,4800.0,Law Enforcement & Security ,Gurgaon/Gurugram
303,BlackBuck,3.8,1900,6200.0,Logistics ,Bangalore
304,UNO Minda,4.0,1900,8300.0,Auto Components ,Gurgaon
305,Johnson Controls,3.3,1900,13800.0,Industrial Automation ,Cork
306,Ola Cabs,3.5,1800,11500.0,Internet ,Bangalore
307,KFintech,3.6,1800,9500.0,FinTech ,Hyderabad
308,Croma,4.1,1800,6400.0,Retail ,Mumbai
309,Britannia,4.1,1800,7000.0,Food Processing ,Reading
310,Voltas,4.0,1800,7700.0,Consumer Electronics & Appliances ,Mumbai
311,Micro Labs,3.7,1800,8900.0,Pharma ,Bangalore/Bengaluru
312,Lifestyle,4.4,1800,6900.0,Retail ,Bangalore/Bengaluru
313,TVS Supply Chain Solutions,3.9,1800,8100.0,Logistics ,Chennai
314,IDFC FIRST Bharat,4.5,1800,3500.0,NBFC ,Tiruchirappalli
315,Exide Industries,3.5,1800,7200.0,Auto Components ,Kolkata
316,Extramarks Education,3.5,1800,8300.0,EdTech ,Noida
317,Radisson Hotels,4.0,1800,5900.0,Hospitality ,Minnetonka
318,Eureka Forbes,3.9,1800,5800.0,Consumer Electronics & Appliances ,Mumbai
319,Future Retail,4.3,1800,6100.0,Retail ,San Francisco
320,PepsiCo,4.1,1800,8600.0,Food Processing ,Harrison
321,Aditya Birla Group,4.1,1800,10400.0,Retail ,Mumbai
322,Quest Global,3.6,1800,17500.0,IT Services & Consulting ,Singapore
323,Sterlite Technologies,3.9,1700,10200.0,Hardware & Networking ,Pune
324,The Himalaya Drug Company,4.1,1700,5800.0,Pharma ,San Francisco
325,JMC Projects,4.2,1700,5900.0,Engineering & Construction ,Mumbai
326,ACT Fibernet,4.1,1700,7000.0,Telecom ,Bengaluru/Bangalore
327,Shree Cement,4.0,1700,8500.0,Building Material ,Kolkata
328,Ajanta Pharma,4.0,1700,8200.0,Pharma ,Mumbai
329,Dalmia Bharat Cement,4.0,1700,7800.0,Building Material ,Delhi/NCR
330,Rivigo,3.9,1700,7600.0,Internet ,Gurgaon
331,IKS Health,3.6,1700,8900.0,Healthcare ,Mumbai
332,Blue Star,4.0,1700,8400.0,Consumer Electronics & Appliances ,Mumbai
333,Nokia Networks,4.3,1700,7400.0,Hardware & Networking ,Chennai
334,Yazaki,3.8,1700,7400.0,10k-50k Employees ,Tokyo
335,Life Insurance Corporation of India,4.3,1700,4300.0,Insurance ,Mumbai
336,Cholamandalam MS General Insurance,3.9,1700,5600.0,Insurance ,Chennai
337,Delhi Public School,3.9,1700,5500.0,Education & Training ,Greater Noida
338,Ninjacart,4.1,1700,5700.0,Agriculture ,Bangalore
339,Tata Teleservices,4.1,1700,5000.0,Telecom ,Mumbai
340,Sonalika Tractors,3.7,1700,7900.0,Automobile ,Hoshiarpur
341,Kyndryl,4.1,1700,15300.0,IT Services & Consulting ,New York
342,Zomato,3.7,1700,11700.0,Internet ,Gurgaon
343,XpressBees,3.8,1700,6600.0,Logistics ,Pune
344,Pfizer,4.1,1700,6200.0,Pharma ,Chennai
345,Emcure Pharmaceuticals,3.8,1700,8300.0,Pharma ,Pune
346,Renault-Nissan,4.1,1700,8300.0,Automobile ,Chennai
347,Mahindra Logistics,4.1,1600,7800.0,Logistics ,Mumbai
348,DS Group,4.0,1600,5900.0,FMCG ,Noida
349,Datamatics Global Services,3.6,1600,11000.0,IT Services & Consulting ,Mumbai
350,Kalpataru Power Transmission,4.1,1600,6300.0,Engineering & Construction ,Mumbai
351,Myntra,4.0,1600,8900.0,Internet ,Bangalore
352,Indus Towers,4.0,1600,6900.0,Telecom ,Gurgaon
353,PVR Cinemas,4.1,1600,5600.0,Media & Entertainment ,Gurgaon
354,V-Mart,4.2,1600,3800.0,Retail ,Gurgaon/Gurugram
355,Parle Agro,4.2,1600,6300.0,Beverage ,Mumbai
356,Mahindra Holidays & Resorts,3.6,1600,5900.0,Hospitality ,Mumbai
357,Movate,3.5,1600,12000.0,IT Services & Consulting ,Plano
358,BHEL,4.1,1600,5200.0,Electrical Equipment ,Bangalore/Bengaluru
359,SRF,4.2,1600,7100.0,Chemicals ,Gurgaon/Gurugram
360,Indian Railways,4.1,1600,3000.0,Railways ,Delhi/NCR
361,Raymond,4.1,1600,7100.0,Fashion & Textile ,New York
362,Kansai Nerolac Paints,3.8,1600,6300.0,Chemicals ,Mumbai
363,Info Edge,4.1,1600,10200.0,Internet ,Noida
364,Reliance Trends,4.3,1600,4300.0,Retail ,Navi Mumbai
365,Motilal Oswal Financial Services,3.7,1600,9100.0,Financial Services ,Mumbai
366,ICICI Securities,3.8,1600,8700.0,Financial Services ,Mumbai
367,Cybage,4.0,1600,17000.0,IT Services & Consulting ,Pune
368,Shell,4.3,1600,12100.0,Oil & Gas ,London
369,Poonawalla Fincorp,3.9,1600,5000.0,NBFC ,Mumbai
370,Ambuja Cements,3.9,1600,6100.0,Building Material ,Mumbai
371,Kalyan Jewellers,4.8,1600,1300.0,Jewellery ,Bengaluru/Bangalore
372,MSN Laboratories,3.8,1600,6900.0,Pharma ,Hyderabad/Secunderabad
373,KPMG Global Services,3.7,1600,2500.0,Bengaluru/Bangalore +25 more,Bengaluru/Bangalore
374,HCL Infosystems,4.0,1500,10000.0,IT Services & Consulting ,Noida
375,Cadila Pharmaceuticals,3.3,1500,6700.0,Pharma ,Ahmedabad
376,Fujitsu,3.9,1500,14700.0,IT Services & Consulting ,Bangalore/Bengaluru
