Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
29,0,Travel_Rarely,Research & Development,21,4,Life Sciences,0,3,Manufacturing Director,1,2,9980,1,0,11,3,3,10,1,3,10,8,8
32,0,Travel_Rarely,Research & Development,5,2,Life Sciences,1,1,Research Scientist,2,2,3298,0,1,12,3,4,7,5,2,6,0,5
22,0,Non-Travel,Research & Development,16,2,Medical,1,1,Laboratory Technician,4,2,2935,1,1,13,3,2,1,2,2,1,0,0
53,0,Travel_Rarely,Sales,2,4,Life Sciences,0,4,Manager,4,1,15427,2,0,16,3,3,31,3,3,25,3,7
38,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1,Research Scientist,4,0,3944,5,1,11,3,3,6,3,3,3,1,2
24,0,Non-Travel,Research & Development,11,2,Other,0,2,Manufacturing Director,3,2,4011,0,0,18,3,4,5,5,2,4,1,3
36,1,Travel_Rarely,Sales,9,4,Life Sciences,1,1,Sales Representative,1,0,3407,7,0,23,4,2,10,4,3,5,0,3
34,0,Travel_Rarely,Research & Development,7,4,Life Sciences,0,3,Research Director,2,0,11994,0,0,11,3,3,13,4,3,12,2,11
21,0,Travel_Rarely,Research & Development,15,2,Life Sciences,1,1,Research Scientist,4,0,1232,1,0,14,3,4,0,6,3,0,0,0
34,1,Travel_Rarely,Research & Development,6,1,Medical,1,1,Research Scientist,1,0,2960,2,0,11,3,3,8,2,3,4,1,3
53,0,Travel_Rarely,Research & Development,5,3,Other,0,5,Manager,3,2,19094,4,0,11,3,4,26,3,2,14,4,8
32,1,Travel_Frequently,Research & Development,16,1,Life Sciences,0,1,Research Scientist,1,0,3919,1,1,22,4,2,10,5,3,10,6,7
42,0,Travel_Rarely,Sales,8,4,Marketing,1,2,Sales Executive,2,1,6825,0,0,11,3,4,10,2,3,9,4,2
44,0,Travel_Rarely,Research & Development,7,4,Medical,0,3,Healthcare Representative,4,1,10248,3,0,14,3,4,24,4,3,22,5,17
46,0,Travel_Rarely,Sales,2,4,Marketing,0,5,Manager,1,0,18947,3,0,12,3,4,22,2,2,2,2,1
33,0,Travel_Rarely,Research & Development,2,3,Medical,1,1,Laboratory Technician,4,0,2496,4,0,11,3,4,7,3,3,1,0,0
44,0,Travel_Rarely,Research & Development,10,4,Other,1,2,Healthcare Representative,4,1,6465,2,1,13,3,4,9,5,4,4,1,3
30,0,Travel_Rarely,Research & Development,9,2,Medical,1,1,Laboratory Technician,3,0,2206,1,0,13,3,1,10,5,3,10,1,8
39,1,Travel_Rarely,Sales,5,3,Technical Degree,1,2,Sales Representative,4,1,2086,3,0,14,3,3,19,6,4,1,0,0
24,1,Travel_Rarely,Research & Development,1,3,Medical,1,1,Research Scientist,4,1,2293,2,1,16,3,1,6,2,2,2,2,0
43,0,Travel_Rarely,Research & Development,2,2,Medical,0,1,Research Scientist,3,2,2645,1,0,12,3,4,6,3,2,5,1,4
50,1,Travel_Rarely,Sales,3,2,Marketing,1,1,Sales Representative,3,1,2683,1,1,14,3,3,3,2,3,3,0,2
35,0,Travel_Rarely,Sales,2,3,Marketing,0,1,Sales Representative,4,1,2014,1,0,13,3,1,2,3,3,2,2,2
36,0,Travel_Rarely,Research & Development,5,4,Life Sciences,0,1,Research Scientist,1,1,3419,9,1,14,3,4,6,3,4,1,0,0
33,0,Travel_Frequently,Sales,1,3,Life Sciences,0,2,Sales Executive,1,1,5376,2,0,19,3,1,10,3,3,5,1,3
35,0,Travel_Rarely,Research & Development,4,2,Other,1,1,Laboratory Technician,4,2,1951,1,0,12,3,3,1,3,3,1,0,0
27,0,Travel_Rarely,Research & Development,2,4,Life Sciences,0,1,Laboratory Technician,1,2,2341,1,0,13,3,4,1,6,3,1,0,0
26,1,Travel_Rarely,Research & Development,25,3,Life Sciences,1,1,Laboratory Technician,3,0,2293,1,0,12,3,3,1,2,2,1,0,1
27,0,Travel_Frequently,Sales,8,3,Life Sciences,1,3,Sales Executive,3,0,8726,1,0,15,3,4,9,0,3,9,1,7
30,0,Travel_Frequently,Research & Development,1,2,Medical,0,2,Laboratory Technician,4,0,4011,1,0,23,4,4,12,2,3,12,3,7
41,1,Travel_Rarely,Research & Development,12,3,Technical Degree,0,5,Research Director,3,1,19545,1,0,12,3,4,23,0,3,22,15,8
34,0,Non-Travel,Sales,23,4,Marketing,1,2,Sales Executive,3,0,4568,0,0,20,4,3,10,2,3,9,8,7
37,0,Travel_Rarely,Research & Development,19,2,Life Sciences,1,1,Research Scientist,2,1,3022,4,0,21,4,1,8,1,3,1,0,0
46,0,Travel_Frequently,Sales,5,4,Marketing,1,2,Sales Executive,4,0,5772,4,1,21,4,3,14,4,3,9,0,8
35,0,Travel_Rarely,Research & Development,8,1,Life Sciences,1,1,Laboratory Technician,4,1,2269,1,0,19,3,4,1,2,3,1,0,1
48,1,Travel_Rarely,Research & Development,1,2,Life Sciences,1,3,Laboratory Technician,3,0,5381,9,1,13,3,4,23,2,3,1,0,0
28,1,Travel_Rarely,Research & Development,5,4,Technical Degree,1,1,Laboratory Technician,3,0,3441,1,1,13,3,3,2,3,2,2,2,2
44,0,Travel_Rarely,Sales,1,5,Marketing,0,2,Sales Executive,1,2,5454,5,1,21,4,3,9,2,2,4,1,3
35,0,Non-Travel,Research & Development,11,2,Medical,1,3,Healthcare Representative,1,1,9884,2,1,13,3,3,10,3,3,4,2,3
26,0,Travel_Rarely,Sales,23,3,Marketing,0,2,Sales Executive,4,1,4157,7,1,19,3,3,5,2,2,2,0,0
33,0,Travel_Frequently,Research & Development,1,2,Life Sciences,0,3,Research Director,4,0,13458,1,1,12,3,3,15,1,3,15,8,12
35,0,Travel_Frequently,Sales,18,5,Life Sciences,1,3,Sales Executive,1,1,9069,1,0,22,4,4,9,3,2,9,1,8
35,0,Travel_Rarely,Research & Development,23,4,Medical,0,1,Laboratory Technician,1,1,4014,3,1,15,3,3,4,3,3,2,2,2
31,0,Travel_Rarely,Research & Development,7,4,Life Sciences,1,2,Laboratory Technician,4,2,5915,3,0,22,4,4,10,3,2,7,1,7
37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2,Manufacturing Director,3,2,5993,1,0,18,3,3,7,2,4,7,0,7
32,0,Travel_Rarely,Research & Development,1,3,Medical,1,2,Manufacturing Director,4,1,6162,1,1,22,4,2,9,3,3,9,7,8
38,0,Travel_Frequently,Research & Development,29,5,Life Sciences,0,2,Laboratory Technician,4,0,2406,1,0,11,3,4,10,2,3,10,9,9
50,0,Travel_Rarely,Research & Development,7,2,Medical,0,5,Research Director,3,2,18740,5,1,12,3,4,29,2,2,27,13,8
59,0,Travel_Rarely,Sales,25,3,Life Sciences,0,3,Sales Executive,1,0,7637,7,0,11,3,4,28,3,2,21,7,9
36,0,Travel_Rarely,Research & Development,8,3,Technical Degree,0,3,Healthcare Representative,3,2,10096,1,0,13,3,2,17,2,3,17,12,8
55,0,Travel_Rarely,Research & Development,8,3,Medical,0,4,Manager,3,2,14756,2,1,14,3,3,21,2,3,5,0,2
36,0,Travel_Frequently,Research & Development,11,3,Life Sciences,1,2,Manufacturing Director,2,0,6499,1,0,13,3,3,6,3,3,6,0,3
45,0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,3,Research Scientist,1,2,9724,2,0,17,3,3,25,2,3,1,0,0
35,0,Travel_Frequently,Research & Development,1,3,Medical,1,1,Research Scientist,1,1,2194,4,0,13,3,4,5,2,2,3,1,2
36,1,Travel_Rarely,Research & Development,9,3,Medical,1,1,Research Scientist,3,1,3388,0,1,17,3,1,2,0,2,1,0,0
59,0,Travel_Frequently,Sales,1,1,Life Sciences,0,2,Sales Executive,3,0,5473,7,0,11,3,4,20,2,2,4,1,3
29,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1,Research Scientist,2,1,2703,0,0,23,4,4,6,3,3,5,0,4
31,0,Travel_Rarely,Research & Development,1,4,Medical,1,1,Research Scientist,2,0,2501,1,0,17,3,2,1,4,3,1,1,0
32,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1,2,Research Scientist,2,1,6220,1,0,17,3,2,10,3,3,10,0,9
36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,0,1,Laboratory Technician,4,1,3038,3,0,12,3,2,5,3,3,1,0,0
31,0,Travel_Rarely,Research & Development,8,4,Life Sciences,0,2,Manufacturing Director,4,0,4424,1,0,23,4,4,11,2,3,11,1,8
35,0,Travel_Rarely,Sales,1,4,Marketing,1,2,Sales Executive,1,0,4312,0,0,14,3,2,16,2,3,15,2,8
45,0,Travel_Rarely,Research & Development,6,4,Other,1,3,Research Director,1,1,13245,4,1,14,3,2,17,3,4,0,0,0
37,0,Travel_Rarely,Research & Development,7,4,Medical,1,3,Research Director,3,0,13664,4,0,13,3,1,16,3,4,5,0,2
46,0,Travel_Rarely,Human Resources,5,2,Medical,1,2,Human Resources,2,2,5021,8,1,22,4,4,16,2,3,4,0,2
30,0,Travel_Rarely,Research & Development,1,1,Life Sciences,1,2,Laboratory Technician,4,1,5126,1,1,12,3,3,10,1,2,10,3,0
35,0,Travel_Rarely,Research & Development,1,3,Medical,1,1,Research Scientist,3,0,2859,1,0,18,3,1,6,3,3,6,0,4
55,0,Travel_Rarely,Sales,1,2,Life Sciences,1,3,Sales Executive,4,1,10239,3,0,14,3,4,24,4,3,1,1,0
38,0,Non-Travel,Research & Development,6,3,Medical,0,2,Research Scientist,4,2,5329,7,1,12,3,4,17,3,3,13,1,9
34,0,Travel_Rarely,Research & Development,1,2,Medical,1,2,Manufacturing Director,2,1,4325,1,0,15,3,3,5,2,3,5,1,3
56,0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,3,Manufacturing Director,4,0,7260,4,0,11,3,1,37,3,2,6,0,2
23,0,Travel_Rarely,Sales,2,1,Technical Degree,1,1,Sales Representative,1,2,2322,3,0,13,3,3,3,3,3,0,0,0
51,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,1,Laboratory Technician,4,1,2075,3,0,23,4,2,10,4,3,4,0,3
30,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2,Healthcare Representative,4,1,4152,1,0,19,3,1,11,3,3,11,10,8
46,1,Travel_Rarely,Sales,9,2,Medical,1,3,Sales Executive,4,0,9619,1,0,16,3,4,9,3,3,9,4,7
40,0,Travel_Frequently,Research & Development,1,4,Life Sciences,1,4,Healthcare Representative,2,1,13503,1,0,22,4,4,22,3,2,22,11,11
51,0,Travel_Rarely,Sales,21,4,Marketing,1,2,Sales Executive,4,0,5441,0,1,22,4,4,11,2,1,10,1,0
30,0,Travel_Rarely,Sales,4,2,Medical,0,2,Sales Executive,2,2,5209,1,1,12,3,2,11,4,2,11,2,7
46,0,Travel_Frequently,Research & Development,1,3,Medical,1,3,Healthcare Representative,1,1,10673,2,1,13,3,3,21,5,2,10,9,5
32,0,Travel_Rarely,Sales,6,4,Medical,1,2,Sales Executive,3,0,5010,1,0,16,3,1,12,0,3,11,5,7
54,0,Travel_Rarely,Research & Development,2,4,Technical Degree,0,3,Research Director,3,1,13549,9,0,12,3,1,16,5,1,4,0,3
24,0,Travel_Rarely,Sales,3,2,Other,0,2,Sales Executive,3,1,4999,0,0,21,4,1,4,2,2,3,0,2
28,0,Non-Travel,Sales,4,3,Medical,1,2,Sales Executive,3,1,4221,1,0,15,3,2,5,3,4,5,0,4
58,0,Travel_Rarely,Sales,10,4,Medical,1,4,Sales Executive,3,0,13872,0,0,13,3,3,38,1,2,37,1,8
44,0,Non-Travel,Research & Development,23,3,Medical,1,2,Laboratory Technician,2,1,2042,4,0,12,3,3,17,3,4,3,1,2
37,1,Travel_Rarely,Human Resources,6,4,Human Resources,1,1,Human Resources,1,2,2073,4,1,22,4,4,7,3,3,3,0,2
32,0,Travel_Rarely,Research & Development,1,1,Life Sciences,1,1,Research Scientist,1,0,2956,1,0,13,3,4,1,2,3,1,0,0
20,1,Travel_Frequently,Research & Development,6,3,Life Sciences,0,1,Laboratory Technician,4,0,2926,1,1,18,3,2,1,5,3,1,1,0
34,0,Travel_Rarely,Research & Development,6,4,Other,0,2,Research Scientist,3,0,4809,1,0,14,3,3,16,3,3,16,2,10
37,0,Non-Travel,Research & Development,2,2,Life Sciences,1,2,Healthcare Representative,4,2,5163,5,0,14,3,4,17,2,4,1,0,0
59,0,Non-Travel,Human Resources,2,4,Human Resources,0,5,Manager,4,1,18844,9,0,21,4,4,30,3,3,3,2,2
50,0,Travel_Frequently,Research & Development,1,3,Life Sciences,0,5,Research Director,2,1,18172,3,1,19,3,1,28,1,2,8,0,7
25,1,Travel_Rarely,Sales,5,3,Marketing,1,2,Sales Executive,3,0,5744,1,1,11,3,4,6,1,3,6,0,3
25,0,Travel_Rarely,Research & Development,7,1,Medical,1,1,Research Scientist,4,1,2889,1,0,11,3,3,2,2,3,2,2,1
22,0,Travel_Rarely,Research & Development,15,3,Medical,0,1,Laboratory Technician,4,0,2871,1,0,15,3,3,1,5,3,0,0,0
51,0,Travel_Frequently,Research & Development,1,4,Medical,0,3,Healthcare Representative,1,0,7484,3,0,20,4,3,23,1,2,13,12,8
34,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,2,Laboratory Technician,3,0,6074,1,1,24,4,4,9,3,3,9,0,6
54,0,Non-Travel,Human Resources,26,3,Human Resources,0,4,Manager,4,0,17328,2,1,12,3,3,23,3,3,5,4,4
24,0,Travel_Rarely,Research & Development,18,1,Life Sciences,1,1,Laboratory Technician,3,1,2774,0,0,12,3,3,6,2,3,5,1,2
34,0,Travel_Rarely,Research & Development,6,4,Life Sciences,0,2,Research Scientist,2,2,4505,6,0,15,3,3,12,3,3,1,0,0
37,0,Travel_Rarely,Sales,3,3,Life Sciences,1,3,Sales Executive,4,0,7428,2,0,12,3,1,12,3,3,5,1,3
34,0,Travel_Rarely,Research & Development,5,3,Medical,0,3,Manager,1,0,11631,2,0,12,3,4,14,6,3,11,5,8
36,0,Travel_Frequently,Sales,11,2,Technical Degree,0,3,Sales Executive,4,1,9738,0,0,14,3,3,10,6,3,9,2,8
36,0,Travel_Rarely,Research & Development,3,2,Life Sciences,0,1,Laboratory Technician,4,2,2835,5,0,22,4,1,7,2,3,1,0,0
43,0,Travel_Frequently,Sales,26,2,Life Sciences,1,4,Manager,4,1,16959,1,1,12,3,4,25,3,4,25,4,12
30,0,Travel_Frequently,Research & Development,23,3,Life Sciences,1,1,Research Scientist,3,2,2613,1,0,25,4,3,10,2,2,10,0,9
33,0,Non-Travel,Sales,22,2,Marketing,1,2,Sales Executive,2,1,6146,0,0,13,3,1,8,2,4,7,0,7
56,1,Travel_Rarely,Research & Development,14,4,Life Sciences,0,1,Research Scientist,2,1,4963,9,1,18,3,1,7,2,3,5,4,3
51,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,5,Research Director,3,0,19537,7,0,13,3,3,23,5,3,20,15,15
31,1,Travel_Rarely,Sales,6,4,Life Sciences,1,2,Sales Executive,3,1,6172,4,1,18,3,2,12,3,2,7,7,7
26,0,Travel_Rarely,Research & Development,6,3,Other,0,1,Research Scientist,2,1,2368,1,0,19,3,3,5,3,2,5,4,3
58,1,Travel_Rarely,Research & Development,23,4,Medical,0,3,Healthcare Representative,4,1,10312,1,0,12,3,4,40,3,2,40,15,6
19,1,Travel_Rarely,Sales,22,1,Marketing,1,1,Sales Representative,3,0,1675,1,1,19,3,4,0,2,2,0,0,0
22,0,Travel_Rarely,Research & Development,2,1,Technical Degree,1,1,Laboratory Technician,4,1,2523,0,0,14,3,3,3,2,3,2,2,1
49,0,Travel_Rarely,Research & Development,20,4,Medical,0,2,Manufacturing Director,1,1,6567,1,0,14,3,3,16,2,2,15,5,11
43,0,Travel_Frequently,Research & Development,28,3,Medical,0,1,Research Scientist,3,0,4739,4,0,12,3,4,18,2,3,3,1,2
50,0,Travel_Frequently,Sales,12,3,Marketing,0,3,Sales Executive,4,0,9208,4,0,11,3,4,16,3,3,2,2,1
31,1,Travel_Rarely,Sales,20,3,Life Sciences,0,2,Sales Executive,3,1,4559,3,1,11,3,3,4,2,3,2,2,2
41,0,Travel_Rarely,Sales,9,1,Life Sciences,1,3,Sales Executive,3,2,8189,3,1,13,3,3,12,2,3,9,0,7
26,0,Travel_Rarely,Human Resources,25,1,Life Sciences,0,1,Human Resources,3,1,2942,1,0,23,4,4,8,3,3,8,5,7
36,0,Travel_Rarely,Research & Development,6,2,Medical,1,2,Manufacturing Director,2,2,4941,6,0,20,4,4,7,0,3,3,0,1
51,1,Travel_Frequently,Research & Development,8,4,Life Sciences,1,3,Manufacturing Director,4,0,10650,2,0,15,3,4,18,2,3,4,0,3
39,0,Travel_Rarely,Sales,4,4,Life Sciences,0,2,Sales Executive,3,1,5902,4,0,14,3,3,17,1,4,15,5,9
25,0,Travel_Rarely,Sales,28,3,Life Sciences,1,2,Sales Executive,3,1,8639,2,0,18,3,4,6,3,3,2,2,2
30,0,Travel_Rarely,Human Resources,9,3,Human Resources,1,2,Human Resources,4,1,6347,0,1,19,3,4,12,2,1,11,4,7
32,1,Travel_Rarely,Research & Development,9,3,Medical,0,1,Laboratory Technician,1,0,4200,7,0,22,4,1,10,2,4,5,0,4
45,0,Travel_Rarely,Research & Development,29,3,Medical,1,1,Research Scientist,4,0,3452,5,0,13,3,2,9,2,2,6,0,3
38,0,Travel_Rarely,Research & Development,3,5,Technical Degree,0,2,Research Scientist,3,0,4317,3,1,20,4,2,19,2,3,3,2,2
30,0,Travel_Rarely,Research & Development,18,3,Life Sciences,0,1,Research Scientist,3,0,2632,1,0,14,3,3,5,4,2,5,0,4
32,0,Travel_Frequently,Sales,9,2,Medical,1,2,Sales Executive,4,2,4668,0,0,17,3,4,9,2,4,8,0,7
30,0,Travel_Rarely,Research & Development,5,3,Technical Degree,0,1,Research Scientist,1,2,3204,5,0,14,3,4,8,3,3,3,2,2
30,0,Travel_Rarely,Research & Development,2,1,Medical,1,1,Laboratory Technician,4,0,2720,0,0,13,3,4,6,3,3,5,1,2
41,0,Travel_Frequently,Research & Development,10,3,Life Sciences,1,4,Manager,1,2,17181,4,0,13,3,2,21,2,2,7,7,7
41,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,1,Laboratory Technician,1,1,2238,2,0,21,4,4,7,2,3,5,1,4
19,0,Travel_Rarely,Research & Development,3,1,Medical,0,1,Laboratory Technician,2,0,1483,1,0,14,3,4,1,3,3,1,0,0
40,0,Travel_Frequently,Research & Development,26,3,Medical,0,2,Research Scientist,2,2,5605,1,0,11,3,1,20,2,3,20,2,13
35,0,Travel_Rarely,Sales,1,5,Marketing,1,3,Sales Executive,2,1,7295,1,0,13,3,1,10,3,3,10,0,6
53,0,Travel_Rarely,Sales,6,2,Marketing,1,2,Sales Representative,3,1,2306,2,1,20,4,4,13,3,1,7,4,5
45,0,Travel_Rarely,Research & Development,9,3,Life Sciences,1,2,Laboratory Technician,2,2,2348,8,0,18,3,3,20,2,1,17,0,15
32,0,Travel_Frequently,Sales,8,3,Marketing,0,3,Sales Executive,4,0,8998,1,0,14,3,4,9,2,3,9,3,7
29,0,Non-Travel,Research & Development,1,1,Technical Degree,1,2,Manufacturing Director,3,1,4319,1,0,13,3,1,10,1,3,10,0,9
51,0,Travel_Rarely,Research & Development,7,4,Medical,1,2,Manufacturing Director,3,1,6132,2,0,17,3,3,10,2,3,1,0,0
58,0,Travel_Rarely,Research & Development,9,3,Medical,0,1,Research Scientist,2,1,3346,4,1,20,4,2,9,3,2,1,0,0
40,0,Travel_Rarely,Sales,4,4,Marketing,1,3,Sales Executive,4,1,10855,7,0,11,3,1,15,2,2,12,2,11
34,0,Travel_Frequently,Sales,2,4,Marketing,0,1,Sales Representative,3,1,2231,6,0,18,3,4,6,3,3,4,1,2
22,0,Travel_Rarely,Research & Development,19,1,Medical,1,1,Research Scientist,4,1,2323,1,0,24,4,1,2,6,3,2,2,2
27,0,Non-Travel,Research & Development,9,3,Medical,1,1,Research Scientist,2,2,2024,6,0,18,3,4,6,1,1,2,2,2
28,0,Travel_Rarely,Research & Development,21,3,Medical,1,1,Research Scientist,4,1,2713,1,0,11,3,3,5,2,1,5,0,2
57,0,Travel_Rarely,Research & Development,24,2,Life Sciences,1,3,Healthcare Representative,4,2,9439,3,1,16,3,2,12,2,1,5,1,4
27,0,Non-Travel,Research & Development,3,3,Medical,1,1,Research Scientist,3,2,2566,1,1,15,3,4,1,2,2,1,0,1
50,0,Travel_Rarely,Research & Development,11,3,Life Sciences,0,5,Manager,2,0,19926,3,0,15,3,2,21,5,3,5,4,4
41,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,1,Research Scientist,3,2,2451,4,0,12,3,1,13,2,3,9,1,8
30,0,Travel_Rarely,Sales,5,3,Life Sciences,0,3,Sales Executive,4,1,9419,2,0,12,3,3,12,2,3,10,7,4
38,0,Travel_Rarely,Sales,1,4,Life Sciences,0,2,Sales Executive,4,0,8686,4,0,22,4,3,12,2,4,8,0,7
32,0,Travel_Rarely,Research & Development,6,5,Life Sciences,1,1,Research Scientist,3,0,3038,3,0,20,4,1,8,2,3,5,1,4
27,0,Travel_Rarely,Research & Development,17,3,Technical Degree,1,1,Research Scientist,2,1,3058,0,1,16,3,4,6,3,2,5,1,1
19,1,Travel_Frequently,Sales,1,1,Technical Degree,0,1,Sales Representative,1,0,2325,0,0,21,4,1,1,5,4,0,0,0
36,0,Travel_Frequently,Research & Development,3,2,Medical,1,1,Laboratory Technician,2,0,2088,4,0,12,3,3,13,3,2,8,7,2
30,0,Non-Travel,Research & Development,9,3,Medical,1,2,Laboratory Technician,1,2,3072,1,0,11,3,3,12,4,3,12,6,10
45,0,Travel_Rarely,Sales,4,2,Life Sciences,0,2,Sales Executive,1,2,5006,4,1,11,3,1,9,3,4,5,0,3
56,0,Travel_Rarely,Research & Development,8,3,Life Sciences,0,1,Research Scientist,1,2,4257,4,1,18,3,3,19,3,3,2,2,2
33,0,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1,Research Scientist,4,0,2500,0,0,14,3,1,4,2,4,3,0,2
19,1,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1,Laboratory Technician,4,0,1102,1,0,22,4,3,1,3,2,1,1,0
46,0,Travel_Rarely,Sales,1,2,Marketing,0,3,Sales Executive,1,2,10453,1,0,25,4,3,24,2,3,24,15,7
38,0,Travel_Rarely,Research & Development,9,2,Life Sciences,0,1,Laboratory Technician,4,0,2288,1,0,12,3,3,2,3,3,2,2,1
31,0,Travel_Rarely,Research & Development,12,1,Medical,0,1,Research Scientist,4,1,3929,8,1,23,4,3,7,0,3,4,0,2
34,0,Travel_Rarely,Research & Development,27,2,Medical,0,1,Research Scientist,2,0,2311,2,0,15,3,4,9,3,3,3,1,2
41,1,Travel_Rarely,Sales,20,2,Marketing,0,1,Sales Representative,2,0,3140,1,1,22,4,4,4,5,2,4,0,2
50,0,Travel_Rarely,Research & Development,1,3,Medical,1,1,Laboratory Technician,3,1,3690,2,0,15,3,4,5,2,2,3,0,2
53,0,Travel_Rarely,Research & Development,13,2,Medical,0,2,Manufacturing Director,1,2,4450,1,0,11,3,3,5,3,3,4,1,3
33,0,Travel_Rarely,Research & Development,14,3,Medical,0,1,Research Scientist,2,1,2756,1,0,13,3,4,8,5,3,8,1,6
40,0,Travel_Rarely,Research & Development,4,1,Medical,0,5,Manager,3,1,19033,1,0,14,3,2,21,2,3,20,9,9
55,0,Travel_Rarely,Research & Development,14,4,Medical,1,5,Research Director,2,0,18722,8,0,11,3,4,36,3,3,24,2,15
34,0,Travel_Frequently,Research & Development,2,1,Life Sciences,1,2,Manufacturing Director,3,1,9547,1,0,17,3,3,10,2,2,10,1,9
51,0,Travel_Rarely,Research & Development,3,3,Medical,0,4,Healthcare Representative,2,0,13734,3,0,18,3,3,21,6,3,7,1,0
52,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,5,Manager,3,1,19999,0,0,14,3,1,34,5,3,33,11,9
27,0,Travel_Rarely,Research & Development,9,3,Medical,0,1,Research Scientist,2,0,2279,1,0,16,3,4,7,2,2,7,0,3
35,1,Travel_Rarely,Research & Development,23,2,Life Sciences,1,2,Manufacturing Director,3,1,5916,3,1,13,3,1,8,1,3,1,0,1
43,0,Non-Travel,Research & Development,7,3,Medical,1,1,Research Scientist,4,2,2089,4,0,14,3,4,7,3,4,5,2,2
45,0,Non-Travel,Research & Development,2,2,Medical,1,4,Manager,4,1,16792,9,0,23,4,4,22,1,3,20,11,8
37,0,Travel_Rarely,Research & Development,21,3,Life Sciences,1,1,Research Scientist,1,1,3564,1,1,12,3,1,8,3,2,8,1,7
35,0,Travel_Frequently,Research & Development,2,3,Medical,0,2,Laboratory Technician,2,0,4425,5,0,11,3,4,10,5,3,6,1,2
42,0,Non-Travel,Research & Development,21,2,Medical,0,2,Manufacturing Director,3,2,5265,2,0,16,3,2,11,5,3,5,0,2
38,0,Travel_Rarely,Research & Development,2,4,Life Sciences,1,2,Manufacturing Director,3,1,6553,9,0,14,3,2,14,3,3,1,0,0
